"Location","Year","No.","Dates","Attendance","Theme","Plenary","Program","Awards","Reports","lon","lat"
"Albuquerque, NM",1997,82,"Aug 10-14, 1997",3106,"Changing Ecosystems: Natural and Human Influences","","","","",-106.650422,35.0843859
"Albuquerque, NM",2009,94,"Aug 2-7, 2009",3648,"Ecological Knowledge and a Global Sustainable Society","Plenary","Program","Awards","Reports",-106.650422,35.0843859
"Athens, GA",1978,63,"Aug 20-24,1978",NA,"Nature of the Southeast in Transition","","","","",-83.357567,33.9519347
"Atlantic City, NJ",1936,21,"Dec 29, 1936-Jan 1, 1937",NA,"","","","","",-74.4229266,39.3642834
"Atlantic City, NJ",1932,17,"Dec 28-29, 1932",NA,"","","","","",-74.4229266,39.3642834
"Austin, TX",2011,96,"Aug 7-12, 2011",3721,"Earth Stewardship: Preserving and enhancing the earth's life-support systems","Plenary","Program","Awards","Reports",-97.7430608,30.267153
"Baltimore, MD",1998,83,"Aug 2-6, 1998",3060,"Ecological Exchanges between Major Ecosystems","","","","",-76.6121893,39.2903848
"Baltimore, MD",2015,100,"Aug 9-14, 2015",4664,"Ecological Science at the Frontier: Celebrating the ESA Centennial","","","","",-76.6121893,39.2903848
"Baltimore, OH",1918,3,"Dec 26-28, 1918",NA,"","Program at Jstor","Minutes at Jstor","","",-82.6014152,39.8453933
"Bloomington, IN",1981,66,"Aug 16-20, 1981",NA,"","","","","",-86.5263857,39.165325
"Boston, MA",1933,18,"29-Dec-33",NA,"","","","","",-71.0588801,42.3600825
"Boston, MA",1922,7,"28-Dec-22",NA,"","Program at Jstor","","","",-71.0588801,42.3600825
"Boston, MA",1946,31,"Dec 27-30, 1946",NA,"","","","","",-71.0588801,42.3600825
"Chicago, IL",1947,32,"Dec 29-31, 1947",NA,"","","","","",-87.6297982,41.8781136
"Chicago, IL",1920,5,"28-Dec-20",NA,"","","","","",-87.6297982,41.8781136
"Cincinnati, OH",1923,8,"29-Dec-23",NA,"","Program at Jstor","","","",-84.5120196,39.1031182
"Cleveland, OH",1944,29,"Sept 11-14, 1944",NA,"","","","","",-81.6943605,41.49932
"Cleveland, OH",1930,15,"Dec 31, 1930 – Jan 1, 1931",NA,"","","","","",-81.6943605,41.49932
"College Station, TX",1967,52,"Aug 27-29, 1967",NA,"","","","","",-96.3344068,30.627977
"Colorado State University",1971,56,"Aug 28-Sept. 3, 1971",NA,"","","","","",-105.0865487,40.5734148
"Columbus, OH",1987,72,"Aug 9-13, 1987",NA,"","","","","",-82.9987942,39.9611755
"Columbus, OH",1915,NA,"December 28, 1915",NA,"Organizational meeting","","","","",-82.9987942,39.9611755
"Columbus, OH",1939,24,"Dec 27-29, 1939",NA,"","","","","",-82.9987942,39.9611755
"Columbus, OH",1968,53,"June 16-18, 1968",NA,"","","","","",-82.9987942,39.9611755
"Corvallis, OR",1962,47,"Aug 27-31, 1962",NA,"","","","","",-123.2620435,44.5645659
"Corvallis, OR",1975,60,"Aug 17-22, 1975",NA,"","","","","",-123.2620435,44.5645659
"Dallas, TX",1941,26,"Dec 29-31, 1941",NA,"","","","","",-96.7969879,32.7766642
"Davis, CA",1988,73,"Aug 14-19, 1988",NA,"Biological Diversity","","","","",-121.7405167,38.5449065
"Des Moines, IA",1929,14,"Dec 31, 1929 – Jan 1, 1930",NA,"","","","","",-93.6249593,41.5868353
"East Lansing, MI",1977,62,"Aug 21-25, 1977",NA,"","","","","",-84.4838654,42.7369792
"Fort Collins, CO",1984,69,"Aug 5-9, 1984",NA,"","","","","",-105.084423,40.5852602
"Fort Lauderdale, FL",2016,101,"August 7-12, 2016",2545,"Novel Ecosystems in the Anthropocene","Plenary","Program","Awards","Reports",-80.1373174,26.1224386
"Honolulu, HI",1992,77,"Aug 8-13, 1992",NA,"Voyagers","","","","",-157.8583333,21.3069444
"Indianapolis, IN",1937,22,"Dec 28-30, 1937",NA,"","","","","",-86.158068,39.768403
"Ithaca, NY",1952,37,"Sept 9-12, 1952",NA,"","","","","",-76.5018807,42.4439614
"Kansas City, MO",1925,10,"29-Dec-25",NA,"","","","","",-94.5785667,39.0997265
"Knoxville, TN",1994,79,"Aug 7-11, 1994",NA,"Science and Public Policy","","","","",-83.9207392,35.9606384
